,"('PLANES DE PREVENCIÓN Y REDUCCIÓN DEL RIESGO DE DESASTRES', None)","('DESCARGA', None)"
33,"('Plan de prevención y reducción del riesgo de desastres de la municipalidad distrital de Huancan, provincia de Huancayo, departamento de Junín 2022-2026 (DISTRITO HUANCAN, HUANCAYO, JUNIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15231/descargar')"
34,"('Plan de prevención y reducción del riesgo de desastres del distrito de Socabaya 2022-2025 (DISTRITO SOCABAYA, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15230/descargar')"
35,"('Plan de prevención y reducción del riesgo de desastres del distrito de Santo Domingo de Acobamba, provincia de Huancayo, departamento de Junin 2023-2025 (DISTRITO SANTO DOMINGO DE ACOBAMBA, HUANCAYO, JUNIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15229/descargar')"
36,"('Plan de prevención y reducción del riesgo de desastres del distrito de Pararín 2022-2023 (DISTRITO PARARIN, RECUAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15227/descargar')"
37,"('Plan de prevención y reducción del riesgo de desastres del distrito de Matacoto 2022-2024 (DISTRITO MATACOTO, YUNGAY, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15168/descargar')"
38,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Huaraz 2022-2024 (PROVINCIA HUARAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15169/descargar')"
39,"('Plan de prevención y reducción del riesgo de desastres del distrito de Yura 2022-2024 (DISTRITO YURA, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15166/descargar')"
40,"('Plan de prevención y reducción del riesgo de desastres del distrito de Cochorco 2023-2025 (DISTRITO COCHORCO, SANCHEZ CARRION, LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15165/descargar')"
41,"('Plan de prevención y reducción del riesgo de desastres del distrito de La Perla 2023-2025 (DISTRITO LA PERLA, CALLAO, CALLAO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/15163/descargar')"
42,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Antabamba 2022-2026 (PROVINCIA ANTABAMBA, APURIMAC)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14945/descargar')"
43,"('Plan de prevención y reducción del riesgo de desastres ante el peligro de sismo seguido de tsunami 2022-2024 (DISTRITO LA PUNTA, CALLAO, CALLAO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14942/descargar')"
44,"('Plan de prevención y reducción del riesgo de desastres del distrito de Aurahuá 2022 - 2026, movimiento en masa y bajas temperaturas (DISTRITO AURAHUA, CASTROVIRREYNA, HUANCAVELICA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14898/descargar')"
45,"('Plan de prevención y reducción del riesgo de desastres del distrito de Chontabamba - por inundación fluvial periodo: 2023 - 2025 (DISTRITO CHONTABAMBA, OXAPAMPA, PASCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14895/descargar')"
46,"('Plan de prevención y reducción del riesgo de desastres (PPRRD) 2023 - 2024 del Ministerio de la Producción (NACIONAL PERU)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14894/descargar')"
47,"('Plan de prevención y reducción del riesgo de desastres ante movimientos en masa e inundación fluvial del distrito de Marcará, provincia de Carhuaz, departamento de Ancash (DISTRITO MARCARA, CARHUAZ, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14734/descargar')"
48,"('Plan de prevención y reducción del riesgo de desastres 2022 - 2025 de la Municipalidad Distrital de Los Morochucos, provincia Cangallo - región Ayacucho (DISTRITO LOS MOROCHUCOS, CANGALLO, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14727/descargar')"
49,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Piura (PROVINCIA PIURA, PIURA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14725/descargar')"
50,"('Plan de prevención y reducción del riesgo de desastres de la provincia de Antonio Raimondi 2022 - 2026 (PROVINCIA ANTONIO RAYMONDI, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14726/descargar')"
51,"('Plan de prevención y reducción del riesgo de desastres 2023 - 2026 del distrito de Oronccoy (DISTRITO ORONCCOY, LA MAR, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14870/descargar')"
52,"('Plan de prevención y reducción de riesgo de desastres del distrito de Pichanaqui al 2025 - PPRRD (DISTRITO PICHANAQUI, CHANCHAMAYO, JUNIN)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14872/descargar')"
53,"('Plan de prevención y reducción del riesgo de desastres del distrito de Oropesa al 2025 (DISTRITO OROPESA, QUISPICANCHI, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14810/descargar')"
54,"('Plan de prevención y reducción del riesgo de desastres ante actividad eruptiva del volcán Misti, distrito de Mariano Melgar 2022 al 2026 (DISTRITO MARIANO MELGAR, AREQUIPA, AREQUIPA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14808/descargar')"
55,"('Plan de prevención y reducción de riesgo de desastres 2022- 2024 en el INACAL (Sede Central INACAL, DISTRITO SAN ISIDRO, LIMA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14246/descargar')"
56,"('Plan de prevención y reducción del riesgo de desastres ante la Covid-19 región Ancash - 2022 (DEPARTAMENTO ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14643/descargar')"
57,"('Plan de prevención y reducción del riesgo de desastres 2022 - 2025 del distrito de Parobamba, provincia de Pomabamba, región Ancash (DISTRITO PAROBAMBA, POMABAMBA, ANCASH)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14722/descargar')"
58,"('Plan de prevención y reducción del riesgo de desastres de la provincia de La Mar 2022 - 2024 (PROVINCIA LA MAR, AYACUCHO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14644/descargar')"
59,"('Plan de prevención y reducción del riesgo de desastres del distrito de Andahuaylillas al 2025 (DISTRITO ANDAHUAYLILLAS, QUISPICANCHI, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14642/descargar')"
60,"('Plan de prevención y reducción del riesgo de desastres del distrito de Vegueta, provincia de Huaura, región Lima (DISTRITO VEGUETA, HUAURA, LIMA)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14365/descargar')"
61,"('Plan de prevención y reducción del riesgo de desastres de origen natural del distrito de Moche, provincia de Trujillo, departamento de La Libertad 2022 - 2024 (DISTRITO MOCHE, TRUJILLO, LA LIBERTAD)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14364/descargar')"
62,"('Plan de prevención y reducción del riesgo de desastres del distrito de Haquira, provincia de Cotabambas, región Apurímac 2022 - 2025 (DISTRITO HAQUIRA, COTABAMBAS, APURIMAC)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14363/descargar')"
63,"('Plan de prevención y reducción del riesgo de desastres del distrito de Chinchero 2022 - 2024 (DISTRITO CHINCHERO, URUBAMBA, CUSCO)', None)","('', 'https://sigrid.cenepred.gob.pe/sigridv3/documento/14362/descargar')"
